PER,ENT,CON,R_DEF,PA1,PA2_1,PA2_1_1,PA2_H_1,PA2_H_2,PA2_H_3,PA2_H_4,PA2_H_5,PA2_H_6,PA2_H_7,PA2_H_8,PA2_H_9,PA2_2,PA2_2_1,PA2_M_1,PA2_M_2,PA2_M_3,PA2_M_4,PA2_M_5,PA2_M_6,PA2_M_7,PA2_M_8,PA2_M_9,PA3_1,PA3_1_1,PA3_2,PA3_2_1,PA3_3,PA3_3_1,PA4_1,PA4_2,PA4_3,PA4_4,PB1,PB2,PB3,PC1_1,PC1_2,PC1_3,PC1_4,PC2,PC3,PC4,PC5_1,PC5_2,PC5_3,PC6,PC7,PD1,PD2,PD3,PE1,PE2,PE3,PE4,PE5,PE5_1,PE6,PE7,PE8,PE9,PE10,PE10_1,PE11,PE12,PE12_1,PE13,PE14_1,PE14_2,PE14_3,PE14_4,PE15,PE16,PE17,PE18,PE19_1,PE19_2,PF1,PF2,PF3_1,PF3_2,PF3_3,PF3_4,PF3_5,PF3_6,PF4_1,PF4_1_1,PF5,PF6_1,PF6_2,PF6_3,PF6_4,PF7,PF8,PF9,PF10,PF11,PF12,PF13,PF14,PF15_1,PF15_2,PF15_3,PF15_4,PF15_5,PF16,PG1,PG2,PG3_1,PG3_2,PG3_3,PG3_4,PG4,PG5_1,PG5_2,PG5_3,PG5_4,PG5_5,PG5_6,PG6_1,PG6_2,PG6_3,PG6_4,PG6_5,PG6_6,PG6_7,PG7,PG8,PG9,CLASE1,CLASE2,CLASE3,DISPOB,RAZ_DIS,POS_OCU,S_ACT,N_TRA,LOCAL,H_TRA_SR,A_SER_SAL,A_AUS_T,NO_TRA_HH,TRA_MEN,TRA_MAS,TRA_MEN35,PER_TRA,ING_DIS,F_VEN,INF_COV,POS_OCU2,S_ACT2,N_TRA2,LOCAL2,A_SER_SAL2,FAC_VIV,FAC_PER
320,01,01E11128,00,04,1,02,22,53,,,,,,,,2,02,59,28,,,,,,,,1,03,2,02,3,01,1,2,3,4,2,28,8,1,,,,2,,09,1,,,,,,,,2142,2,1,1,9313,7,9,3,,,2,,,1,25,10,1,,,,2,1,,,3,,2,,,,,,,,,,,,,,,1,2,1,2,1,2,,,,,,,5,2,2,2,,,,,1,1,,,,5,,,2,3,4,,,,03,06,1,1,1,0,0,0,1,7,7,1,7,1,2,0,0,0,0,2,2,3,1,0,0,0,0,0,924,1696
320,01,01E11135,00,03,1,01,55,,,,,,,,,2,02,51,22,,,,,,,,1,02,2,01,,,1,2,,,1,55,8,1,,,,2,,01,,,3,2,,,,,2655,2,5,2,5414,6,1,5,4,6,2,,,2,,,,2,,,4,2,1,3,3,,2,,,,,,,,,,,,,,,1,4,,4,2,,,,,,,,5,2,1,1,1,2,,,1,1,,,4,,,,2,3,4,,,,03,05,1,2,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4,1,2,2,1109,1997
320,01,01E11311,00,06,1,02,45,22,,,,,,,,2,04,45,20,16,12,,,,,,1,02,2,01,3,03,,,,4,2,45,2,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,4,1,1,,,,,,,,3,4,,,,03,06,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,490,2407
320,01,01E11151,00,04,1,03,34,09,05,,,,,,,2,01,25,,,,,,,,,1,01,2,01,3,02,,,,,2,25,3,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,,,1,1,2,,,,,,,3,4,,,,02,04,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,673,1551
320,01,01E11169,00,05,1,02,26,50,,,,,,,,2,03,29,27,53,,,,,,,1,03,2,02,,,1,2,,4,1,20,4,1,,,,1,,,,,,,,,,,4211,2,1,1,4671,5,1,4,,,1,45,1,,,,1,,,,1,1,,,2,,2,,,,,,,,,,,,,,,1,2,2,1,1,2,,,,,,,5,2,2,1,,,,4,1,1,,,4,5,,1,,3,4,,,,03,07,1,1,1,0,0,0,1,5,1,1,4,1,4,0,0,0,0,2,1,2,1,0,0,0,0,0,734,3330
320,01,01E11173,00,04,1,03,29,08,02,,,,,,,2,01,25,,,,,,,,,1,01,2,01,3,01,1,2,,,2,25,4,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,1,1,2,,,5,,1,,3,,,,,02,06,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,1173,1851
320,01,01E11182,00,06,1,03,46,22,17,,,,,,,2,03,52,23,13,,,,,,,1,03,2,02,3,02,1,2,,4,2,52,3,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,1,1,,,4,,,1,,3,4,,,,05,07,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,772,2326
320,01,01E11229,00,01,,,,,,,,,,,,2,01,72,,,,,,,,,1,01,2,01,,,1,2,,,2,72,8,1,,,,1,,,,,,,,,,,2714,2,5,2,6141,6,1,5,4,5,1,10,1,,,,,2,,,4,2,7,,3,,2,,,,,,,,,,,,,,,1,2,1,2,2,,,,,,,,5,2,2,2,,,,,1,1,,,4,5,,,2,3,4,5,,,01,02,2,1,1,0,0,0,2,6,1,2,1,2,4,0,0,0,0,2,2,3,1,0,0,0,0,0,932,424
320,01,01E11257,00,08,1,05,38,16,14,11,02,,,,,2,03,35,10,04,,,,,,,1,01,2,02,3,04,,,,,2,35,3,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,2,,,1,1,,,4,,,,2,3,4,,,,02,05,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,419,3102
320,01,01E11277,00,07,1,03,36,73,01,,,,,,,2,04,67,32,04,03,,,,,,1,02,2,02,,,1,,,4,2,67,2,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,2,,,1,1,2,,,,,,,3,4,,,,03,05,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,708,2808
320,01,01E11282,00,02,1,01,65,,,,,,,,,2,01,61,,,,,,,,,1,01,2,01,,,,,,,1,65,2,1,,,,1,,,,,,,,,,,7121,2,5,2,2382,4,1,5,4,6,1,35,1,,,,,2,,,4,2,7,,3,,2,,,,,,,,,,,,,,,1,2,1,2,2,,,,,,,,5,2,2,2,,,,,1,1,,,,,,,,3,4,,,,02,06,1,1,1,0,0,0,2,4,1,2,4,2,4,0,0,0,0,2,2,3,1,0,0,0,0,0,668,1154
320,01,01E13480,00,07,1,03,54,28,16,,,,,,,2,04,50,23,07,10,,,,,,1,03,2,01,3,03,1,2,3,4,2,50,3,,,,4,,4,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,4,1,1,2,,,,,1,,3,4,,,,04,06,1,2,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,0,708,2714
320,01,01E13481,00,02,1,01,25,,,,,,,,,2,01,51,,,,,,,,,1,02,2,02,,,,2,,4,1,25,4,1,,,,1,,,,,,,,,,,4211,2,1,1,4611,5,1,4,,,1,45,1,,,,1,,,,1,1,,,3,,2,,,,,,,,,,,,,,,1,2,1,2,1,2,,,,,,,5,2,2,2,,,,,1,1,2,,4,,,1,2,3,4,,,,01,07,1,1,1,0,0,0,1,5,1,1,4,1,4,0,0,0,0,2,2,3,1,0,0,0,0,0,668,1332
320,01,01E13497,00,05,1,03,69,18,15,,,,,,,2,02,65,43,,,,,,,,1,03,2,02,3,02,1,2,,4,2,43,3,1,,,,2,,14,1,,,,,,,,9611,2,1,3,8140,,,,,,2,,,1,25,11,1,,,,1,1,,,3,,2,,,,,,,,,,,,,,,1,2,1,2,1,2,,,,,,,5,1,2,1,,,,4,1,1,2,,,,,1,,3,4,,,,03,06,1,1,1,0,0,0,1,6,7,2,7,1,3,0,0,0,0,2,1,2,1,0,0,0,0,0,820,1777
320,01,01E13499,00,02,1,01,59,,,,,,,,,2,01,19,,,,,,,,,1,01,2,01,3,01,1,2,3,4,2,19,4,,,,4,,4,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,1,1,,,4,,,1,2,3,4,,,,02,06,1,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,0,0,0,0,0,1164,848
